@id,wd:Q9439,full_coverage
rdfs:label{Literal}@tr,Victoria,rdfs:label{Literal}@tr
rdfs:label{Literal}@tt,Виктория,rdfs:label{Literal}@tt
rdfs:label{Literal}@tw,Queen Victoria,rdfs:label{Literal}@tw
rdfs:label{Literal}@uk,Вікторія,rdfs:label{Literal}@uk
rdfs:label{Literal}@ur,ملکہ وکٹوریہ,rdfs:label{Literal}@ur
rdfs:label{Literal}@uz,Viktoriya,rdfs:label{Literal}@uz
rdfs:label{Literal}@vi,Victoria của Anh,rdfs:label{Literal}@vi
rdfs:label{Literal}@vro,Kuninganna Victoria,rdfs:label{Literal}@vro
rdfs:label{Literal}@war,Victoria han Reino Unido,rdfs:label{Literal}@war
rdfs:label{Literal}@wuu,维多利亚女王,rdfs:label{Literal}@wuu
rdfs:label{Literal}@xmf,ვიქტორია,rdfs:label{Literal}@xmf
rdfs:label{Literal}@yi,קעניגין וויקטאריע,rdfs:label{Literal}@yi
rdfs:label{Literal}@yue,維多利亞女皇,rdfs:label{Literal}@yue
rdfs:label{Literal}@zea,Koningin Victoria,rdfs:label{Literal}@zea
rdfs:label{Literal}@zh,維多利亞女王,rdfs:label{Literal}@zh
rdfs:label{Literal}@zh-cn,维多利亚女王,rdfs:label{Literal}@zh-cn
rdfs:label{Literal}@zh-hans,维多利亚女王,rdfs:label{Literal}@zh-hans
rdfs:label{Literal}@zh-hant,維多利亞女王,rdfs:label{Literal}@zh-hant
rdfs:label{Literal}@zh-hk,維多利亞女皇,rdfs:label{Literal}@zh-hk
rdfs:label{Literal}@zh-mo,維多利亞女皇,rdfs:label{Literal}@zh-mo
rdfs:label{Literal}@zh-my,维多利亚女王,rdfs:label{Literal}@zh-my
rdfs:label{Literal}@zh-sg,维多利亚女王,rdfs:label{Literal}@zh-sg
rdfs:label{Literal}@zh-tw,維多利亞女王,rdfs:label{Literal}@zh-tw
skos:prefLabel{Literal}@en,Queen Victoria,skos:prefLabel{Literal}@en
skos:prefLabel{Literal}@af,Victoria van die Verenigde Koninkryk,skos:prefLabel{Literal}@af
skos:prefLabel{Literal}@am,ንግሥት ቪክቶሪያ,skos:prefLabel{Literal}@am
skos:prefLabel{Literal}@an,Vitoria d'o Reino Unito,skos:prefLabel{Literal}@an
skos:prefLabel{Literal}@ar,فيكتوريا ملكة المملكة المتحدة,skos:prefLabel{Literal}@ar
skos:prefLabel{Literal}@ary,لملكة ڤيكطوريا,skos:prefLabel{Literal}@ary
skos:prefLabel{Literal}@arz,فيكتوريا ملكة المملكه المتحده,skos:prefLabel{Literal}@arz
skos:prefLabel{Literal}@ast,Victoria del Reinu Xuníu,skos:prefLabel{Literal}@ast
skos:prefLabel{Literal}@az,I Viktoriya,skos:prefLabel{Literal}@az
skos:prefLabel{Literal}@azb,ویکتوریا خاتون,skos:prefLabel{Literal}@azb
skos:prefLabel{Literal}@ba,Виктория,skos:prefLabel{Literal}@ba
skos:prefLabel{Literal}@bcl,Queen Victoria,skos:prefLabel{Literal}@bcl
skos:prefLabel{Literal}@be,"Вікторыя, каралева брытанская",skos:prefLabel{Literal}@be
skos:prefLabel{Literal}@be-tarask,Вікторыя,skos:prefLabel{Literal}@be-tarask
skos:prefLabel{Literal}@bg,Виктория,skos:prefLabel{Literal}@bg
skos:prefLabel{Literal}@bho,रानी विक्टोरिया,skos:prefLabel{Literal}@bho
skos:prefLabel{Literal}@bn,রানি ভিক্টোরিয়া,skos:prefLabel{Literal}@bn
skos:prefLabel{Literal}@br,Victoria,skos:prefLabel{Literal}@br
skos:prefLabel{Literal}@bs,"Viktorija, kraljica Ujedinjenog Kraljevstva",skos:prefLabel{Literal}@bs
skos:prefLabel{Literal}@ca,Reina Victòria del Regne Unit,skos:prefLabel{Literal}@ca
skos:prefLabel{Literal}@cdo,Victoria Nṳ̄-uòng,skos:prefLabel{Literal}@cdo
skos:prefLabel{Literal}@ckb,ڤیکتۆریا,skos:prefLabel{Literal}@ckb
skos:prefLabel{Literal}@cs,Viktorie Britská,skos:prefLabel{Literal}@cs
skos:prefLabel{Literal}@cv,Виктория,skos:prefLabel{Literal}@cv
skos:prefLabel{Literal}@cy,"Victoria, brenhines y Deyrnas Unedig",skos:prefLabel{Literal}@cy
skos:prefLabel{Literal}@da,Victoria af Storbritannien,skos:prefLabel{Literal}@da
skos:prefLabel{Literal}@de,Victoria,skos:prefLabel{Literal}@de
skos:prefLabel{Literal}@de-ch,Victoria,skos:prefLabel{Literal}@de-ch
skos:prefLabel{Literal}@dty,महारानी भिक्टोरिया,skos:prefLabel{Literal}@dty
skos:prefLabel{Literal}@el,Βασίλισσα Βικτωρία,skos:prefLabel{Literal}@el
skos:prefLabel{Literal}@en-ca,Queen Victoria,skos:prefLabel{Literal}@en-ca
skos:prefLabel{Literal}@en-gb,Queen Victoria,skos:prefLabel{Literal}@en-gb
skos:prefLabel{Literal}@eo,Viktoria de Britio,skos:prefLabel{Literal}@eo
skos:prefLabel{Literal}@es,Victoria del Reino Unido,skos:prefLabel{Literal}@es
skos:prefLabel{Literal}@et,Victoria,skos:prefLabel{Literal}@et
skos:prefLabel{Literal}@eu,Viktoria Erresuma Batukoa,skos:prefLabel{Literal}@eu
skos:prefLabel{Literal}@fa,ویکتوریای پادشاهی متحده,skos:prefLabel{Literal}@fa
skos:prefLabel{Literal}@fi,Viktoria,skos:prefLabel{Literal}@fi
skos:prefLabel{Literal}@fo,Victoria drotning,skos:prefLabel{Literal}@fo
skos:prefLabel{Literal}@fr,Victoria,skos:prefLabel{Literal}@fr
skos:prefLabel{Literal}@frr,Victoria (Ferianigt Köningrik),skos:prefLabel{Literal}@frr
skos:prefLabel{Literal}@fy,Victoria fan it Feriene Keninkryk,skos:prefLabel{Literal}@fy
skos:prefLabel{Literal}@ga,Victoria na Ríochta Aontaithe,skos:prefLabel{Literal}@ga
skos:prefLabel{Literal}@gd,Ban-rìgh Bhictoria,skos:prefLabel{Literal}@gd
skos:prefLabel{Literal}@gl,Vitoria do Reino Unido,skos:prefLabel{Literal}@gl
skos:prefLabel{Literal}@gsw,"Victoria, Chenigi vu Großbritannien un Irland",skos:prefLabel{Literal}@gsw
skos:prefLabel{Literal}@hak,Vì-tô-li-â Ńg-vòng,skos:prefLabel{Literal}@hak
skos:prefLabel{Literal}@he,ויקטוריה,skos:prefLabel{Literal}@he
skos:prefLabel{Literal}@hi,विक्टोरिया,skos:prefLabel{Literal}@hi
skos:prefLabel{Literal}@hr,"Viktorija, kraljica Ujedinjenog Kraljevstva",skos:prefLabel{Literal}@hr
skos:prefLabel{Literal}@hu,Viktória brit királynő,skos:prefLabel{Literal}@hu
skos:prefLabel{Literal}@hy,Վիկտորյա թագուհի,skos:prefLabel{Literal}@hy
skos:prefLabel{Literal}@ia,Victoria del Regno Unite,skos:prefLabel{Literal}@ia
skos:prefLabel{Literal}@id,Victoria dari Britania Raya,skos:prefLabel{Literal}@id
skos:prefLabel{Literal}@io,Victoria,skos:prefLabel{Literal}@io
skos:prefLabel{Literal}@is,Viktoría Bretadrottning,skos:prefLabel{Literal}@is
skos:prefLabel{Literal}@it,Vittoria del Regno Unito,skos:prefLabel{Literal}@it
skos:prefLabel{Literal}@ja,ヴィクトリア (イギリス女王),skos:prefLabel{Literal}@ja
skos:prefLabel{Literal}@jv,Victoria saking Britania Raya,skos:prefLabel{Literal}@jv
skos:prefLabel{Literal}@ka,ვიქტორია,skos:prefLabel{Literal}@ka
skos:prefLabel{Literal}@kab,Tagellit Victoria,skos:prefLabel{Literal}@kab
skos:prefLabel{Literal}@kbp,Reine Victoria,skos:prefLabel{Literal}@kbp
skos:prefLabel{Literal}@kk,Виктория,skos:prefLabel{Literal}@kk
skos:prefLabel{Literal}@kn,ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಂನ ವಿಕ್ಟೋರಿಯಾ,skos:prefLabel{Literal}@kn
skos:prefLabel{Literal}@ko,빅토리아,skos:prefLabel{Literal}@ko
skos:prefLabel{Literal}@ku,Keybanû Victoria,skos:prefLabel{Literal}@ku
skos:prefLabel{Literal}@kw,Viktorya,skos:prefLabel{Literal}@kw
skos:prefLabel{Literal}@ky,Виктория,skos:prefLabel{Literal}@ky
skos:prefLabel{Literal}@la,Victoria,skos:prefLabel{Literal}@la
skos:prefLabel{Literal}@lb,Victoria vum Vereengte Kinnekräich,skos:prefLabel{Literal}@lb
skos:prefLabel{Literal}@lfn,Rea Victoria,skos:prefLabel{Literal}@lfn
skos:prefLabel{Literal}@lij,Vitöia d'Inghiltæra,skos:prefLabel{Literal}@lij
skos:prefLabel{Literal}@lmo,Vitoria del Regn Unii,skos:prefLabel{Literal}@lmo
skos:prefLabel{Literal}@lt,Viktorija,skos:prefLabel{Literal}@lt
skos:prefLabel{Literal}@lv,Viktorija,skos:prefLabel{Literal}@lv
skos:prefLabel{Literal}@lzh,英王維多利亞,skos:prefLabel{Literal}@lzh
skos:prefLabel{Literal}@mai,महारानी भिक्टोरिया,skos:prefLabel{Literal}@mai
skos:prefLabel{Literal}@mg,Victoria du Royaume-Uni,skos:prefLabel{Literal}@mg
skos:prefLabel{Literal}@mi,Wikitōria,skos:prefLabel{Literal}@mi
skos:prefLabel{Literal}@mk,Кралица Викторија,skos:prefLabel{Literal}@mk
skos:prefLabel{Literal}@ml,വിക്ടോറിയ രാജ്ഞി,skos:prefLabel{Literal}@ml
skos:prefLabel{Literal}@mn,Викториа,skos:prefLabel{Literal}@mn
skos:prefLabel{Literal}@mr,व्हिक्टोरिया राणी,skos:prefLabel{Literal}@mr
skos:prefLabel{Literal}@ms,Victoria dari United Kingdom,skos:prefLabel{Literal}@ms
skos:prefLabel{Literal}@my,ဝိတိုရိယ ဘုရင်မ,skos:prefLabel{Literal}@my
skos:prefLabel{Literal}@mzn,ملکه ویکتوریا,skos:prefLabel{Literal}@mzn
skos:prefLabel{Literal}@nan,Victoria (Liân-ha̍p Ông-kok),skos:prefLabel{Literal}@nan
skos:prefLabel{Literal}@nb,Victoria av Storbritannia,skos:prefLabel{Literal}@nb
skos:prefLabel{Literal}@nds,Victoria vun Grootbritannien,skos:prefLabel{Literal}@nds
skos:prefLabel{Literal}@ne,रानी भिक्टोरिया,skos:prefLabel{Literal}@ne
skos:prefLabel{Literal}@nl,Victoria van het Verenigd Koninkrijk,skos:prefLabel{Literal}@nl
skos:prefLabel{Literal}@nn,Victoria av Storbritannia,skos:prefLabel{Literal}@nn
skos:prefLabel{Literal}@nrm,Victoria du Rouoyaume Unni,skos:prefLabel{Literal}@nrm
skos:prefLabel{Literal}@oc,Victòria I dau Reiaume Unit,skos:prefLabel{Literal}@oc
skos:prefLabel{Literal}@pa,﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ,skos:prefLabel{Literal}@pa
skos:prefLabel{Literal}@pl,Wiktoria,skos:prefLabel{Literal}@pl
skos:prefLabel{Literal}@pms,Vitòria,skos:prefLabel{Literal}@pms
skos:prefLabel{Literal}@pnb,ملکہ وکٹوریہ,skos:prefLabel{Literal}@pnb
skos:prefLabel{Literal}@ps,ملکه وېکټوريا,skos:prefLabel{Literal}@ps
skos:prefLabel{Literal}@pt,Vitória do Reino Unido,skos:prefLabel{Literal}@pt
skos:prefLabel{Literal}@pt-br,Vitória do Reino Unido,skos:prefLabel{Literal}@pt-br
skos:prefLabel{Literal}@qu,Victoria,skos:prefLabel{Literal}@qu
skos:prefLabel{Literal}@ro,Victoria a Regatului Unit,skos:prefLabel{Literal}@ro
skos:prefLabel{Literal}@ru,Виктория,skos:prefLabel{Literal}@ru
skos:prefLabel{Literal}@rue,Виктория (Споене кральовство),skos:prefLabel{Literal}@rue
skos:prefLabel{Literal}@sa,विक्टोरिया,skos:prefLabel{Literal}@sa
skos:prefLabel{Literal}@scn,Vittoria dû Regnu Unitu,skos:prefLabel{Literal}@scn
skos:prefLabel{Literal}@sco,Queen Victoria,skos:prefLabel{Literal}@sco
skos:prefLabel{Literal}@sd,راڻي وڪٽوريا (برطانيا),skos:prefLabel{Literal}@sd
skos:prefLabel{Literal}@sgs,Vėktuorėjė (karalienė),skos:prefLabel{Literal}@sgs
skos:prefLabel{Literal}@sh,Viktorija,skos:prefLabel{Literal}@sh
skos:prefLabel{Literal}@si,වික්ටෝරියා රැජින - එක්සත් රාජධානිය,skos:prefLabel{Literal}@si
skos:prefLabel{Literal}@sk,Viktória,skos:prefLabel{Literal}@sk
skos:prefLabel{Literal}@sl,Viktorija Britanska,skos:prefLabel{Literal}@sl
skos:prefLabel{Literal}@sm,Masiofo Vitoria,skos:prefLabel{Literal}@sm
skos:prefLabel{Literal}@sq,Mbretëresha Victoria,skos:prefLabel{Literal}@sq
skos:prefLabel{Literal}@sr,Викторија Хановерска,skos:prefLabel{Literal}@sr
skos:prefLabel{Literal}@sv,Viktoria av Storbritannien,skos:prefLabel{Literal}@sv
skos:prefLabel{Literal}@sw,Viktoria wa Uingereza,skos:prefLabel{Literal}@sw
skos:prefLabel{Literal}@ta,ஐக்கிய இராச்சியத்தின் விக்டோரியா,skos:prefLabel{Literal}@ta
skos:prefLabel{Literal}@te,బ్రిటన్‌ రాణి విక్టోరియా,skos:prefLabel{Literal}@te
skos:prefLabel{Literal}@th,สมเด็จพระราชินีนาถวิกตอเรียแห่งสหราชอาณาจักร,skos:prefLabel{Literal}@th
skos:prefLabel{Literal}@tl,Victoria ng Nagkakaisang Kaharian,skos:prefLabel{Literal}@tl
skos:prefLabel{Literal}@tr,Victoria,skos:prefLabel{Literal}@tr
skos:prefLabel{Literal}@tt,Виктория,skos:prefLabel{Literal}@tt
skos:prefLabel{Literal}@tw,Queen Victoria,skos:prefLabel{Literal}@tw
skos:prefLabel{Literal}@uk,Вікторія,skos:prefLabel{Literal}@uk
skos:prefLabel{Literal}@ur,ملکہ وکٹوریہ,skos:prefLabel{Literal}@ur
skos:prefLabel{Literal}@uz,Viktoriya,skos:prefLabel{Literal}@uz
skos:prefLabel{Literal}@vi,Victoria của Anh,skos:prefLabel{Literal}@vi
skos:prefLabel{Literal}@vro,Kuninganna Victoria,skos:prefLabel{Literal}@vro
skos:prefLabel{Literal}@war,Victoria han Reino Unido,skos:prefLabel{Literal}@war
skos:prefLabel{Literal}@wuu,维多利亚女王,skos:prefLabel{Literal}@wuu
skos:prefLabel{Literal}@xmf,ვიქტორია,skos:prefLabel{Literal}@xmf
skos:prefLabel{Literal}@yi,קעניגין וויקטאריע,skos:prefLabel{Literal}@yi
skos:prefLabel{Literal}@yue,維多利亞女皇,skos:prefLabel{Literal}@yue
skos:prefLabel{Literal}@zea,Koningin Victoria,skos:prefLabel{Literal}@zea
skos:prefLabel{Literal}@zh,維多利亞女王,skos:prefLabel{Literal}@zh
skos:prefLabel{Literal}@zh-cn,维多利亚女王,skos:prefLabel{Literal}@zh-cn
skos:prefLabel{Literal}@zh-hans,维多利亚女王,skos:prefLabel{Literal}@zh-hans
skos:prefLabel{Literal}@zh-hant,維多利亞女王,skos:prefLabel{Literal}@zh-hant
skos:prefLabel{Literal}@zh-hk,維多利亞女皇,skos:prefLabel{Literal}@zh-hk
skos:prefLabel{Literal}@zh-mo,維多利亞女皇,skos:prefLabel{Literal}@zh-mo
skos:prefLabel{Literal}@zh-my,维多利亚女王,skos:prefLabel{Literal}@zh-my
skos:prefLabel{Literal}@zh-sg,维多利亚女王,skos:prefLabel{Literal}@zh-sg
skos:prefLabel{Literal}@zh-tw,維多利亞女王,skos:prefLabel{Literal}@zh-tw
skos:altLabel{Literal}@ar,الملكة فيكتوريا,skos:altLabel{Literal}@ar
skos:altLabel{Literal}@ast,Alexandrina Victoria de Hannover,skos:altLabel{Literal}@ast
skos:altLabel{Literal}@be,каралева брытанская Вікторыя,skos:altLabel{Literal}@be
skos:altLabel{Literal}@bn,আলেকজান্ড্রিনা ভিক্টোরিয়া,skos:altLabel{Literal}@bn
skos:altLabel{Literal}[0]@cs,Alexandrina Victoria,skos:altLabel{Literal}[0]@cs
skos:altLabel{Literal}[1]@cs,Viktorie,skos:altLabel{Literal}[1]@cs
skos:altLabel{Literal}[2]@cs,královna Viktorie,skos:altLabel{Literal}[2]@cs
skos:altLabel{Literal}[0]@en,Alexandrina Hanover,skos:altLabel{Literal}[0]@en
skos:altLabel{Literal}[1]@en,Alexandrina Victoria,skos:altLabel{Literal}[1]@en
skos:altLabel{Literal}[2]@en,Alexandrina Victoria von Hannover,skos:altLabel{Literal}[2]@en
skos:altLabel{Literal}[3]@en,Princess Victoria,skos:altLabel{Literal}[3]@en
skos:altLabel{Literal}[4]@en,"Queen Victoria, Queen of the United Kingdom",skos:altLabel{Literal}[4]@en
skos:altLabel{Literal}[5]@en,Queen of Great Britain Victoria,skos:altLabel{Literal}[5]@en
skos:altLabel{Literal}[6]@en,Queen of Great Britain and Empress of India Victoria,skos:altLabel{Literal}[6]@en
skos:altLabel{Literal}[7]@en,Reina de Gran Bretaña Victoria I,skos:altLabel{Literal}[7]@en
skos:altLabel{Literal}[8]@en,Victoria,skos:altLabel{Literal}[8]@en
skos:altLabel{Literal}[9]@en,Victoria Alexandrina,skos:altLabel{Literal}[9]@en
skos:altLabel{Literal}[10]@en,Victoria Hanover,skos:altLabel{Literal}[10]@en
skos:altLabel{Literal}[11]@en,Victoria of the United Kingdom,skos:altLabel{Literal}[11]@en
skos:altLabel{Literal}[12]@en,"Victoria, Queen of Great Britain",skos:altLabel{Literal}[12]@en
skos:altLabel{Literal}[13]@en,koningin van Groot-Brittannie͏̈ en Ierland Victoria,skos:altLabel{Literal}[13]@en
skos:altLabel{Literal}[14]@en,regina di Gran Bretagna e Irlanda Victoria,skos:altLabel{Literal}[14]@en
skos:altLabel{Literal}[15]@en,reine de Grande-Bretagne Victoria,skos:altLabel{Literal}[15]@en
skos:altLabel{Literal}@eo,Viktorino de Britio,skos:altLabel{Literal}@eo
skos:altLabel{Literal}[0]@es,Victoria,skos:altLabel{Literal}[0]@es
skos:altLabel{Literal}[1]@es,reina Victoria,skos:altLabel{Literal}[1]@es
skos:altLabel{Literal}[0]@fr,Victoria du Royaume-Uni,skos:altLabel{Literal}[0]@fr
skos:altLabel{Literal}[1]@fr,reine Victoria,skos:altLabel{Literal}[1]@fr
skos:altLabel{Literal}@fy,Fiktoaria fan Hannover,skos:altLabel{Literal}@fy
skos:altLabel{Literal}@gsw,Victoria (Vereinigtes Königreich),skos:altLabel{Literal}@gsw
skos:altLabel{Literal}@hy,Վիկտորյյա,skos:altLabel{Literal}@hy
skos:altLabel{Literal}@it,Regina Vittoria,skos:altLabel{Literal}@it
skos:altLabel{Literal}[0]@ja,アレクサンドリナ・ヴィクトリア,skos:altLabel{Literal}[0]@ja
skos:altLabel{Literal}[1]@ja,维多利亚女王,skos:altLabel{Literal}[1]@ja
skos:altLabel{Literal}@kn,ಮಹಾರಾಣಿ ವಿಕ್ಟೋರಿಯ,skos:altLabel{Literal}@kn
skos:altLabel{Literal}@ku,Victoria von Hannover,skos:altLabel{Literal}@ku
skos:altLabel{Literal}@mg,Queen Victoria,skos:altLabel{Literal}@mg
skos:altLabel{Literal}@mi,Kuīni Wikitōria,skos:altLabel{Literal}@mi
skos:altLabel{Literal}@ms,Alexandrina Victoria,skos:altLabel{Literal}@ms
skos:altLabel{Literal}@nn,Alexandrina Victoria,skos:altLabel{Literal}@nn
skos:altLabel{Literal}@pl,Victoria,skos:altLabel{Literal}@pl
skos:altLabel{Literal}@ro,Alexandrina Victoria,skos:altLabel{Literal}@ro
skos:altLabel{Literal}@ur,ملکہ مملکت متحدہ,skos:altLabel{Literal}@ur
skos:altLabel{Literal}[0]@zh,維多利亞女皇,skos:altLabel{Literal}[0]@zh
skos:altLabel{Literal}[1]@zh,维多利亚女王,skos:altLabel{Literal}[1]@zh
skos:altLabel{Literal}[2]@zh,维多利亚女皇,skos:altLabel{Literal}[2]@zh
skos:altLabel{Literal}@zh-hans,维多利亚女皇,skos:altLabel{Literal}@zh-hans
p:P10018{URIRef},s:Q9439-968C3A87-BA80-4C15-9274-24DC831A8B85,p:P10018{URIRef}
p:P1006{URIRef},s:Q9439-9B99FA75-97E3-478A-808A-A617C8C951C8,p:P1006{URIRef}
p:P10242{URIRef},s:Q9439-0C7499F8-6987-4FE1-960B-DEA846D21604,p:P10242{URIRef}
p:P10297{URIRef},s:Q9439-7c71675f-4f22-1cb0-f03c-3bd9bc10d8f4,p:P10297{URIRef}
p:P1038{URIRef},s:Q9439-d7899653-4ebc-5079-489b-9e2b7378f013,p:P1038{URIRef}
p:P1050{URIRef},s:Q9439-ceb4c683-46de-153f-e063-cd952cd527b3,p:P1050{URIRef}
p:P106{URIRef}[0],s:Q9439-00603FCE-080B-4949-979B-036B2F947765,p:P106{URIRef}[0]
p:P106{URIRef}[1],s:Q9439-0783B2E6-312D-4724-A0DE-11B715FFA160,p:P106{URIRef}[1]
p:P106{URIRef}[2],s:Q9439-A67D8949-0F26-45BC-A99D-69A212A738B7,p:P106{URIRef}[2]
p:P106{URIRef}[3],s:Q9439-CE1B9EA7-2E88-4D95-B769-364B671E7773,p:P106{URIRef}[3]
p:P106{URIRef}[4],s:Q9439-d42863d5-474c-7baa-80c0-51cbadb6b1c0,p:P106{URIRef}[4]
p:P1066{URIRef},s:Q9439-a43bcb45-4b80-6dc9-9333-4a73c1125e7c,p:P1066{URIRef}
p:P109{URIRef},s:q9439-81272370-3919-47E6-ABFE-6F3746BBE102,p:P109{URIRef}
p:P119{URIRef},s:Q9439-292F2A90-8D7B-484A-BAC9-511C79150611,p:P119{URIRef}
p:P1196{URIRef},s:Q9439-0009F22F-5EFC-4980-811F-52930C8524B6,p:P1196{URIRef}
p:P1207{URIRef},s:Q9439-B97C5B25-DBE3-4885-8FEB-55758E04E27C,p:P1207{URIRef}
p:P1225{URIRef},s:Q9439-B69D7598-083E-4B03-90DE-EFD22AF903AE,p:P1225{URIRef}
p:P1260{URIRef},s:Q9439-6730E95B-8816-42D6-A6A3-CECB55F6220B,p:P1260{URIRef}
p:P1263{URIRef},s:Q9439-54D313D7-1BAA-4043-BAD8-B1E97F986286,p:P1263{URIRef}
p:P1273{URIRef},s:Q9439-68193828-D915-43FF-B5E1-E5DFE368C3C4,p:P1273{URIRef}
p:P1280{URIRef},s:Q9439-ef90b70c-4575-3512-1a13-1a081408d4ac,p:P1280{URIRef}
p:P1290{URIRef}[0],s:Q9439-0d56091a-402a-6c9d-c32d-74126b91a235,p:P1290{URIRef}[0]
p:P1290{URIRef}[1],s:Q9439-23470eb3-4eea-51d6-1b48-c623d364e11e,p:P1290{URIRef}[1]
p:P1290{URIRef}[2],s:Q9439-7d8af908-4601-7418-64e1-e2585fd387ed,p:P1290{URIRef}[2]
p:P1290{URIRef}[3],s:Q9439-b491d023-47bb-327b-1911-cfe36adbedcc,p:P1290{URIRef}[3]
p:P1299{URIRef},s:Q9439-ed635c81-4cbb-e273-473d-6946daae3f2d,p:P1299{URIRef}
p:P1309{URIRef},s:q9439-5ceddba8-46a8-d6a2-ed17-ba83db96ef56,p:P1309{URIRef}
p:P1315{URIRef},s:Q9439-C0B0C0C9-9181-4EB1-9AE4-F21203505F59,p:P1315{URIRef}
p:P1343{URIRef}[0],s:Q9439-266F07D7-C141-4B7A-8A39-B69591A1E974,p:P1343{URIRef}[0]
p:P1343{URIRef}[1],s:Q9439-2D12344B-9FED-4D3A-B7AC-9D07403AFF9E,p:P1343{URIRef}[1]
p:P1343{URIRef}[2],s:Q9439-37fa7abc-de76-4ac8-93b2-18361f1d6a8b,p:P1343{URIRef}[2]
p:P1343{URIRef}[3],s:Q9439-66DBBFB3-34D1-4925-9825-F811F477DD1A,p:P1343{URIRef}[3]
p:P1343{URIRef}[4],s:Q9439-A6031AC0-409D-480E-8A7F-F8326C464B36,p:P1343{URIRef}[4]
p:P1343{URIRef}[5],s:Q9439-C9519DE1-62B3-4540-B010-044161698D30,p:P1343{URIRef}[5]
p:P1343{URIRef}[6],s:Q9439-CB70723D-B84C-47F9-966B-9F47313A248F,p:P1343{URIRef}[6]
p:P1368{URIRef},s:q9439-82c5d96c-4fdb-853e-5164-c7b0ec230f98,p:P1368{URIRef}
p:P1375{URIRef},s:q9439-0ce2cc33-4d2f-8839-ea50-acb86ba6ea97,p:P1375{URIRef}
p:P138{URIRef}[0],s:Q9439-23194ed1-4e65-c20d-7848-fcbec1686e2f,p:P138{URIRef}[0]
p:P138{URIRef}[1],s:Q9439-44d8226b-413e-1ca5-6b13-0d152cc6209c,p:P138{URIRef}[1]
p:P140{URIRef},s:Q9439-bdd1d2ec-4dc3-b1bb-1452-31710470e40c,p:P140{URIRef}
p:P1412{URIRef}[0],s:Q9439-0adfe1af-4bd5-83c5-d5fb-f39854770a17,p:P1412{URIRef}[0]
p:P1412{URIRef}[1],s:Q9439-17F1C16A-3688-40EF-88B7-7704F85B776D,p:P1412{URIRef}[1]
p:P1412{URIRef}[2],s:Q9439-1a5cad90-48ca-deb8-6833-03beaf3ba6f3,p:P1412{URIRef}[2]
p:P1412{URIRef}[3],s:Q9439-2945e19c-4c92-40fe-b70a-729664e2b91c,p:P1412{URIRef}[3]
p:P1412{URIRef}[4],s:Q9439-6de640db-4d88-7d76-0879-febfd88da787,p:P1412{URIRef}[4]
p:P1415{URIRef},s:Q9439-EE50C43C-9F3D-4139-96FC-7721F33A29F8,p:P1415{URIRef}
p:P1417{URIRef},s:Q9439-A3C6495B-D506-4549-BD1B-33D3031F804F,p:P1417{URIRef}
p:P1424{URIRef},s:Q9439-87c8179e-4d22-3cde-1197-e6a70de6dd7a,p:P1424{URIRef}
p:P1430{URIRef}[0],s:Q9439-74ED9B8D-D32D-4C26-9CCD-22A7555D5E03,p:P1430{URIRef}[0]
p:P1430{URIRef}[1],s:Q9439-CDB8BD0E-43B3-423F-9C72-776E22DDB127,p:P1430{URIRef}[1]
p:P1441{URIRef},s:Q9439-C9398311-BFA9-4FD0-9049-B2041E3C68EF,p:P1441{URIRef}
p:P1442{URIRef},s:Q9439-808bbfb6-4d26-1b53-69cb-90e67bef3124,p:P1442{URIRef}
p:P1472{URIRef},s:Q9439-77dbeb04-4a4e-1664-c951-1b556744c657,p:P1472{URIRef}
p:P1477{URIRef},s:Q9439-990062b4-488b-62ed-281e-8f340cc08f74,p:P1477{URIRef}
p:P1543{URIRef},s:Q9439-df310a1d-4364-9bb4-2b97-37b2fae7507a,p:P1543{URIRef}
p:P1559{URIRef}[0],s:Q9439-4161ca00-42c8-ed1e-0fb6-0afe6f16d529,p:P1559{URIRef}[0]
p:P1559{URIRef}[1],s:Q9439-fdeb862f-4b60-3644-e755-4142de858432,p:P1559{URIRef}[1]
p:P1580{URIRef},s:Q9439-45F0C25A-A94E-4AD4-845C-0D460489A784,p:P1580{URIRef}
p:P1617{URIRef},s:Q9439-c8184785-4981-cc8e-ff60-ed35b9d83a81,p:P1617{URIRef}
p:P1636{URIRef},s:Q9439-3e1c888b-45a3-30cd-112e-c06bf20fcea7,p:P1636{URIRef}
p:P166{URIRef}[0],s:Q9439-0461774a-4efe-4f4e-7a7b-5beb4f37de79,p:P166{URIRef}[0]
p:P166{URIRef}[1],s:Q9439-06b1e623-4da4-557d-2f48-29b96ed210a4,p:P166{URIRef}[1]
p:P166{URIRef}[2],s:Q9439-084ff964-4c9c-70ec-00ef-9d6730330df2,p:P166{URIRef}[2]
p:P166{URIRef}[3],s:Q9439-22a47381-47aa-27c9-25b0-6170d238c09c,p:P166{URIRef}[3]
p:P166{URIRef}[4],s:Q9439-5a5d613d-4c57-1794-193a-d2ac8ae11f74,p:P166{URIRef}[4]
p:P166{URIRef}[5],s:Q9439-6e5f31aa-4bea-1dd2-44e2-dc5c37e708fd,p:P166{URIRef}[5]
p:P166{URIRef}[6],s:Q9439-74175ac3-484f-7220-5884-a67635cd468b,p:P166{URIRef}[6]
